municipality_id,source_id,url,http_status,bytes,text_chars,status,error
M041,S-M041-03,https://www.hiezu.jp/user/filer_public/68/02/6802772b-964a-4a93-8ce0-9594e1ca9fa8/r4gomifen-kefang-zao-jian-biao.pdf,404,0,0,ERROR,HTTPError: 404 Client Error: Not Found for url: https://www.hiezu.jp/user/filer_public/68/02/6802772b-964a-4a93-8ce0-9594e1ca9fa8/r4gomifen-kefang-zao-jian-biao.pdf
M042,S-M042-01,https://www.daisen.jp/user/filer_public/b1/61/b1611d62-e336-4068-8123-b4ec28cb25f6/gomi-funbetu-tebiki-kaiteiban.pdf,404,0,0,ERROR,HTTPError: 404 Client Error: Not Found for url: https://www.daisen.jp/user/filer_public/b1/61/b1611d62-e336-4068-8123-b4ec28cb25f6/gomi-funbetu-tebiki-kaiteiban.pdf
M042,S-M042-02,https://www.daisen.jp/10/4/4/r100/s542/,200,22118,1370,OK,
M042,S-M042-03,https://www.daisen.jp/10/4/4/m855/n462/x191/,200,29941,2166,OK,
M042,S-M042-04,https://www.daisen.jp/10/4/4/r100/m165/,200,24849,1814,OK,
M043,S-M043-01,https://www.town.nanbu.tottori.jp/admin/chouminseikatsuka/gomi1/g141/,200,32193,4586,OK,
M043,S-M043-02,https://www.town.nanbu.tottori.jp/admin/chouminseikatsuka/gomi1/y145/,200,24184,3870,OK,
M044,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,200,23790,2287,OK,
M044,S-M044-02,https://www.houki-town.jp/new1/10/12/gomi/m131-copy/,200,20741,1954,OK,
M044,S-M044-03,https://www.houki-town.jp/new1/10/12/gomi/6/2/,200,18439,1500,OK,
M045,S-M045-01,https://www.town.nichinan.lg.jp/material/files/group/31/nichinantyou_gomibunbetu202503.pdf,200,1146614,3103,OK,
M045,S-M045-02,https://www.town.nichinan.lg.jp/soshikikarasagasu/kankyouenergyka/gomi_kankyo_pet/1/22079.html,200,50729,4724,OK,
M046,S-M046-01,https://www.town.hino.tottori.jp/secure/43691/2026karendagetumoku.pdf,200,3004045,10393,OK,
M046,S-M046-02,https://www.town.hino.tottori.jp/2653.htm,200,41130,1636,OK,
M046,S-M046-03,https://www.town.hino.tottori.jp/4352.htm,200,41415,1807,OK,
M047,S-M047-01,https://www.town-kofu.jp/2/1/4/9/2/,200,43373,6446,OK,
M047,S-M047-02,https://www.town-kofu.jp/2/1/4/9/2/g103/,200,24234,2841,OK,
M048,S-M048-01,https://www.city.matsue.lg.jp/kurashi_tetsuzuki/gomi_kankyo_pet/6/2/7883.html,200,54347,6485,OK,
M048,S-M048-02,https://www.city.matsue.lg.jp/kurashi_tetsuzuki/gomi_kankyo_pet/6/R8gominittei/index.html,200,47151,2242,OK,
M048,S-M048-03,https://www.city.matsue.lg.jp/kurashi_tetsuzuki/gomi_kankyo_pet/6/2/index.html,200,45573,2505,OK,
M049,S-M049-01,https://www.city.hamada.shimane.jp/www/contents/1001000003096/index.html,200,53068,16361,OK,
M049,S-M049-02,https://www.city.hamada.shimane.jp/www/genre/1773704279895/index.html,200,24557,4073,OK,
M049,S-M049-03,https://www.city.hamada.shimane.jp/www/genre/1000170010135/index.html,200,28867,4936,OK,
M050,S-M050-01,https://www.city.izumo.shimane.jp/www/contents/1751940594041/index.html,200,30028,4943,OK,
M050,S-M050-02,https://www.city.izumo.shimane.jp/www/genre/1179814088744/index.html,200,36489,8769,OK,
M050,S-M050-03,https://www.city.izumo.shimane.jp/www/contents/1746759657207/index.html,200,32687,5917,OK,
M051,S-M051-01,https://www.city.masuda.lg.jp/soshikikarasagasu/fukushikankyobu/kankyoeiseika/2/11/2554.html,200,57962,12043,OK,
M051,S-M051-02,https://www.city.masuda.lg.jp/kurashi_tetsuzuki/gomi_recycle/kateikaraderugomi/3/9443.html,200,57106,10249,OK,
M052,S-M052-01,https://www.city.oda.lg.jp/ohda_city/city_organization/33/38/gomi-risaikuru/2028/9495,200,22771,1936,OK,
M052,S-M052-02,https://www.city.oda.lg.jp/ohda_city/city_purpose/138/9407,200,24388,1851,OK,
M052,S-M052-03,https://www.city.oda.lg.jp/ohda_city/city_organization/33/38/gomi-risaikuru/2028/zikohan/,200,22272,1803,OK,
M053,S-M053-01,https://www.city.yasugi.shimane.jp/kurashi/gomi/gomi-recycle/tebiki.html,200,10151,1261,OK,
M053,S-M053-02,https://www.city.yasugi.shimane.jp/kurashi/gomi/gomi-recycle/calendar.html,200,86586,11586,OK,
M054,S-M054-01,https://www.city.gotsu.lg.jp/soshiki/12/39048.html,200,28154,5388,OK,
M054,S-M054-02,https://www.city.gotsu.lg.jp/soshiki/12/8529.html,200,37645,5743,OK,
M055,S-M055-01,https://www.city.unnan.shimane.jp/unnan/kurashi/kankyou/recycle/garbage02.html,200,26017,2416,OK,
M055,S-M055-02,https://www.unnan-yume.net/files/format/kankyo_ebook_enesen.pdf,200,6453710,28100,OK,
M055,S-M055-03,https://www.unnan-yume.net/files/format/kankyo_ebook_iishi.pdf,200,6156275,28199,OK,
M055,S-M055-04,https://www.unnan-yume.net/kankyo/gomi-calendar/calendar.php,200,69646,6841,OK,
M056,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,200,1393774,2826,OK,
M056,S-M056-02,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1001000000397.html,200,32019,1036,OK,
