municipality_id,candidate_id,source_page,anchor_text,official_url,host,authority_type,fetch_status,http_status,text_chars,item_hit_count,category_hit_count,matched_items,recommended,reason,checked_date
M054,DISC-M054-E433B905AD,https://www.city.gotsu.lg.jp/soshiki/12/8529.html,家庭ごみの分け方・出し方（冊子）令和6年3月～ [PDFファイル：6.99MB],https://www.city.gotsu.lg.jp/uploaded/attachment/16994.pdf,www.city.gotsu.lg.jp,MUNICIPAL_DOMAIN,OK,200,91245,33,10,I001|I002|I003|I004|I005|I006|I009|I010|I011|I012|I013|I014|I015|I017|I018|I019|I020|I021|I022|I023|I024|I025|I026|I027|I028|I030|I031|I032|I033|I036|I038|I039|I040,TRUE,high-value official item/index text,2026-08-20
M054,DISC-M054-0AF75B1B04,https://www.city.gotsu.lg.jp/soshiki/12/8529.html,家庭ごみの分け方・出し方（一覧表） [PDFファイル：548KB],https://www.city.gotsu.lg.jp/uploaded/attachment/6067.pdf,www.city.gotsu.lg.jp,MUNICIPAL_DOMAIN,OK,200,3569,21,10,I001|I003|I004|I005|I012|I013|I014|I015|I017|I018|I021|I022|I024|I025|I026|I030|I031|I032|I033|I038|I039,TRUE,high-value official item/index text,2026-08-20
M054,DISC-M054-A570E53767,https://www.city.gotsu.lg.jp/soshiki/12/8529.html,家庭ごみの分け方・出し方（一覧表）中国語 [PDFファイル：1MB],https://www.city.gotsu.lg.jp/uploaded/attachment/7124.pdf,www.city.gotsu.lg.jp,MUNICIPAL_DOMAIN,OK,200,2696,1,0,I039,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M054,DISC-M054-264F9235E8,https://www.city.gotsu.lg.jp/soshiki/12/8529.html,家庭ごみの分け方・出し方（一覧表）英語 [PDFファイル：956KB],https://www.city.gotsu.lg.jp/uploaded/attachment/7123.pdf,www.city.gotsu.lg.jp,MUNICIPAL_DOMAIN,OK,200,8070,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M054,DISC-M054-4EB66477AA,https://www.city.gotsu.lg.jp/soshiki/12/8529.html,家庭ごみの分け方・出し方（一覧表）韓国語 [PDFファイル：1MB],https://www.city.gotsu.lg.jp/uploaded/attachment/7125.pdf,www.city.gotsu.lg.jp,MUNICIPAL_DOMAIN,OK,200,2064,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M054,DISC-M054-CDD42CE484,https://www.city.gotsu.lg.jp/soshiki/12/8529.html,家庭ごみの分け方・出し方（一覧表）ポルトガル語 [PDFファイル：2MB],https://www.city.gotsu.lg.jp/uploaded/attachment/7126.pdf,www.city.gotsu.lg.jp,MUNICIPAL_DOMAIN,ERROR,200,0,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M054,DISC-M054-1EC8DB47AD,https://www.city.gotsu.lg.jp/soshiki/12/8529.html,家庭ごみの分け方・出し方（一覧表）ベトナム語 [PDFファイル：976KB],https://www.city.gotsu.lg.jp/uploaded/attachment/7127.pdf,www.city.gotsu.lg.jp,MUNICIPAL_DOMAIN,OK,200,59200,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M055,DISC-M055-7E44E82EF0,https://www.city.unnan.shimane.jp/unnan/kurashi/kankyou/recycle/garbage02.html,PDFファイル版ごみ分別冊子のページ,https://www.unnan-yume.net/kankyo/gomi/e-book.php,www.unnan-yume.net,INTERMUNICIPAL_AUTHORITY_DOMAIN,OK,200,6311,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M055,DISC-M055-74A0BA3CD0,https://www.city.unnan.shimane.jp/unnan/kurashi/kankyou/recycle/garbage02.html,ごみの分け方・出し方ポスター,https://www.unnan-yume.net/kankyo/gomi/gomibunbetu.php,www.unnan-yume.net,INTERMUNICIPAL_AUTHORITY_DOMAIN,OK,200,7070,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M056,DISC-M056-1B11719032,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1773388412727.html,ごみ分別辞典 R8.4,https://www.town.okuizumo.shimane.jp/assets/ごみ分別辞典%20R8.4_1.pdf,www.town.okuizumo.shimane.jp,MUNICIPAL_DOMAIN,OK,200,9518,29,7,I001|I003|I006|I009|I011|I012|I013|I014|I015|I016|I017|I018|I019|I020|I021|I022|I023|I024|I026|I027|I028|I030|I031|I032|I033|I034|I036|I038|I040,TRUE,high-value official item/index text,2026-08-20
M056,DISC-M056-7C1F3772E0,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1773388412727.html,燃やせるごみの出し方（英語版）,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/combustible_garbage.pdf,www.town.okuizumo.shimane.jp,MUNICIPAL_DOMAIN,OK,200,532,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M058,DISC-M058-4E25797226,https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_environment/environment/4377,「家庭ごみの分別と出し方のしおり」をダウンロードする,https://www.town.shimane-kawamoto.lg.jp/files/original/202503111012285756e3b9765.pdf,www.town.shimane-kawamoto.lg.jp,MUNICIPAL_DOMAIN,OK,200,15021,30,11,I001|I002|I003|I006|I009|I010|I011|I012|I013|I014|I015|I016|I017|I018|I019|I020|I021|I023|I024|I026|I027|I028|I029|I030|I031|I032|I033|I036|I038|I040,TRUE,high-value official item/index text,2026-08-20
M058,DISC-M058-1A1E27AAE4,https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_environment/environment/4377,「ごみの出し方ポスター」をダウンロードする,https://www.town.shimane-kawamoto.lg.jp/files/original/202503111012474178cf3374e.pdf,www.town.shimane-kawamoto.lg.jp,MUNICIPAL_DOMAIN,OK,200,251,2,2,I003|I028,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-E74A3108B2,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/guide,「家庭ごみ分別と出し方のしおり」をダウンロードする（PDF：4.4MB）,https://gov.town.shimane-misato.lg.jp/files/original/20250313093603030b48ef46b.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,15021,30,11,I001|I002|I003|I006|I009|I010|I011|I012|I013|I014|I015|I016|I017|I018|I019|I020|I021|I023|I024|I026|I027|I028|I029|I030|I031|I032|I033|I036|I038|I040,TRUE,high-value official item/index text,2026-08-20
M059,DISC-M059-AECA09875B,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和７年度ごみ収集日程表 （沢谷・浜原）」 （PDF：669kB）,https://gov.town.shimane-misato.lg.jp/files/original/2025021813455780718f0b1f2.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4015,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-69CC6D65CB,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和７年度ごみ収集日程表 （粕渕・吾郷・高山）」 （PDF：672kB）,https://gov.town.shimane-misato.lg.jp/files/original/20250218134746602998a5946.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4023,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-F2382AEC85,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和７年度ごみ収集日程表 （君谷・別府）」 （PDF：669kB）,https://gov.town.shimane-misato.lg.jp/files/original/202502181348176972bf551d7.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4019,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-7213437DBF,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和７年度ごみ収集日程表 （宮内・村之郷・比敷・笹目・都賀西・都賀本郷・長藤・大浦）」 （PDF：715kB）,https://gov.town.shimane-misato.lg.jp/files/original/20250218134918680fa3012e7.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4097,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-7987AC7BDA,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和７年度ごみ収集日程表 （上野・潮・曲利・都賀行・松原）」 （PDF：705kB）,https://gov.town.shimane-misato.lg.jp/files/original/20250218134950659663616c5.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4186,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-EA135FB9BC,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和８年度ごみ収集日程表 （沢谷・浜原）」 （PDF：281kB）,https://gov.town.shimane-misato.lg.jp/files/original/202602121522041937d34aea9.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4109,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-E1E84187EE,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和８年度ごみ収集日程表 （粕渕・吾郷・高山）」 （PDF：281kB）,https://gov.town.shimane-misato.lg.jp/files/original/202602121524057564670d041.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4115,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-F06AF0BE6A,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和８年度ごみ収集日程表 （君谷・別府）」 （PDF：281kB）,https://gov.town.shimane-misato.lg.jp/files/original/202602121532432728cfca85d.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4115,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-DED73FA20F,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和８年度ごみ収集日程表 （宮内・村之郷・比敷・笹目・都賀西・都賀本郷・長藤・大浦）」 （PDF：282kB）,https://gov.town.shimane-misato.lg.jp/files/original/202602121533025641261e6b6.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4393,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-5D8DCA0C94,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,「令和８年度ごみ収集日程表 （上野・潮・曲利・都賀行・松原）」 （PDF：282kB）,https://gov.town.shimane-misato.lg.jp/files/original/20260212153347804308df13e.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,4362,4,8,I001|I013|I014|I017,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M059,DISC-M059-92047066D9,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/guide,「家庭ごみの出し方（ポスター）」をダウンロードする（PDF：1.2MB）,https://gov.town.shimane-misato.lg.jp/files/original/20250313093651113359ee4b8.pdf,gov.town.shimane-misato.lg.jp,MUNICIPAL_DOMAIN,OK,200,251,2,2,I003|I028,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M062,DISC-M062-25837AFA5D,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.html,吉賀町ごみの分別大図鑑（PDFファイル:6.43 MB）,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.data/gominodaizukan.pdf,www.town.yoshika.lg.jp,MUNICIPAL_DOMAIN,OK,200,42030,34,7,I001|I002|I003|I005|I006|I009|I010|I011|I012|I013|I014|I015|I016|I017|I018|I019|I020|I021|I022|I023|I024|I026|I027|I028|I029|I030|I031|I032|I033|I034|I036|I038|I039|I040,TRUE,high-value official item/index text,2026-08-20
M062,DISC-M062-31F56F386C,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.html,【ごみの分け方・出し方（PDFファイル:837KB）】,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.data/bunnbetu_tyuugokugo.pdf,www.town.yoshika.lg.jp,MUNICIPAL_DOMAIN,OK,200,7358,11,0,I001|I013|I014|I015|I020|I021|I027|I030|I031|I038|I039,TRUE,high-value official item/index text,2026-08-20
M062,DISC-M062-BA92F971D3,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.html,【ごみの分け方・出し方（PDFファイル:917KB）】,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.data/bunnbetu_betonamugo.pdf,www.town.yoshika.lg.jp,MUNICIPAL_DOMAIN,OK,200,12829,10,0,I001|I013|I014|I015|I020|I021|I027|I030|I031|I038,TRUE,high-value official item/index text,2026-08-20
M062,DISC-M062-BA76D39F2C,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.html,【ごみの分け方・出し方（PDFファイル:610KB）】,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.data/bunnbetu_eigo.pdf,www.town.yoshika.lg.jp,MUNICIPAL_DOMAIN,OK,200,13428,10,0,I001|I013|I014|I015|I020|I021|I027|I030|I031|I038,TRUE,high-value official item/index text,2026-08-20
M062,DISC-M062-EEA540E48B,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.html,【分別リスト（PDFファイル:367KB）】,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.data/bunnbeturisuto_tyuugokugo.pdf,www.town.yoshika.lg.jp,MUNICIPAL_DOMAIN,OK,200,7873,1,0,I039,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M062,DISC-M062-C0D69B31F7,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.html,【分別リスト（PDFファイル:306KB）】,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.data/bunnbeturisuto_betonamugo.pdf,www.town.yoshika.lg.jp,MUNICIPAL_DOMAIN,OK,200,11694,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
